NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2011S006025,4,Les Corts,41-4-19,les Corts,231502,Numància,0201 0201,Dilluns,1,Laboral,2011,9,Setembre,12,18,Tarda,Desconegut,0,1,0,1,2,"4582564,79","427315,66",20110912,12/09/2011,"427315,66/4582564,79",41.3913324277,2.13059656251,"41.3913324277, 2.13059656251","(41.3913324277, 2.13059656251)",False,Laboral,,2000.0,[],Col.lisió fronto-lateral,No hi ha causa mediata
2011S007825,4,Les Corts,41-4-19,les Corts,231502,Numància,0091 0093,Dissabte,6,Laboral,2011,11,Novembre,19,14,Tarda,Desconegut,0,1,0,1,3,"4581901,53","427795,68",20111119,19/11/2011,"427795,68/4581901,53",41.3854019436,2.1364166831,"41.3854019436, 2.1364166831","(41.3854019436, 2.1364166831)",True,Festiu,,2000.0,[],Abast multiple,No hi ha causa mediata
2011S004224,4,Les Corts,41-4-19,les Corts,110803,Entença,0301 0301,Dilluns,1,Laboral,2011,6,Juny,20,20,Tarda,Creuar per fora pas de vianants,0,2,0,2,1,"4582333,47","427969,46",20110620,20/06/2011,"427969,46/4582333,47",41.3893078379,2.13844355562,"41.3893078379, 2.13844355562","(41.3893078379, 2.13844355562)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2011S007098,4,Les Corts,41-4-19,les Corts,187207,Madrid,0215 0217,Dijous,4,Laboral,2011,10,Octubre,20,23,Nit,Altres,0,0,0,0,1,"4581501,99","427683,75",20111020,20/10/2011,"427683,75/4581501,99",41.3817933892,2.13512580098,"41.3817933892, 2.13512580098","(41.3817933892, 2.13512580098)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2011S002825,4,Les Corts,41-4-19,les Corts,343903,Corts,0276 0278,Dimecres,3,Laboral,2011,4,Abril,27,16,Tarda,Desconegut,0,1,0,1,4,"4582070,62","427718,94",20110427,27/04/2011,"427718,94/4582070,62",41.3869179792,2.13547877822,"41.3869179792, 2.13547877822","(41.3869179792, 2.13547877822)",False,Laboral,,2000.0,"[(41.38692, 2.13523)]",Col.lisió lateral,No hi ha causa mediata
2011S006820,4,Les Corts,41-4-19,les Corts,343903,Corts,0292 0292,Dilluns,1,Laboral,2011,10,Octubre,10,14,Tarda,Desconegut,0,2,0,2,3,"4582134,42","427804,45",20111010,10/10/2011,"427804,45/4582134,42",41.3875002796,2.13649381025,"41.3875002796, 2.13649381025","(41.3875002796, 2.13649381025)",False,Laboral,,2000.0,"[(41.3875, 2.13623)]",Abast multiple,No hi ha causa mediata
2011S004943,4,Les Corts,41-4-19,les Corts,343903,Corts,0292 0292,Dimarts,2,Laboral,2011,7,Juliol,19,9,Matí,Desconegut,0,1,0,1,2,"4582134,42","427804,45",20110719,19/07/2011,"427804,45/4582134,42",41.3875002796,2.13649381025,"41.3875002796, 2.13649381025","(41.3875002796, 2.13649381025)",True,Laboral,,2000.0,"[(41.3875, 2.13623)]",Abast,No hi ha causa mediata
2011S003085,4,Les Corts,41-4-19,les Corts,343903,Corts,0328 0328,Dissabte,6,Laboral,2011,5,Maig,7,11,Matí,Desconegut,0,1,0,1,1,"4582275,37","427989,27",20110507,07/05/2011,"427989,27/4582275,37",41.3887863277,2.13868738397,"41.3887863277, 2.13868738397","(41.3887863277, 2.13868738397)",True,Festiu,,2000.0,[],Atropellament,No hi ha causa mediata
2011S006149,4,Les Corts,43-4-21,Pedralbes,148500,Gran Capità,0009X0009X,Divendres,5,Laboral,2011,9,Setembre,16,17,Tarda,Desconegut,0,1,0,1,2,"4582228,04","425517,64",20110916,16/09/2011,"425517,64/4582228,04",41.3881349803,2.10913367036,"41.3881349803, 2.10913367036","(41.3881349803, 2.10913367036)",False,Laboral,,2000.0,"[(41.38794, 2.10956)]",Caiguda (dues rodes),No hi ha causa mediata
2011S002024,4,Les Corts,43-4-21,Pedralbes,114509,Espasa,0001 0001,Divendres,5,Laboral,2011,3,Març,25,0,Nit,Desconegut,0,0,1,1,2,"4583142,04","425967,13",20110325,25/03/2011,"425967,13/4583142,04",41.3964084578,2.11439757527,"41.3964084578, 2.11439757527","(41.3964084578, 2.11439757527)",False,Laboral,,2000.0,"[(41.3962999, 2.11489)]",Col.lisió frontal,No hi ha causa mediata
