NumeroDexpedient,CodiDistricte,NomDistricte,CodiBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2015S009242,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0189 0189,Divendres,Dv,Laboral,2015,12,Desembre,4,18,Tarda,No és causa del  vianant,0,0,0,2,"4582347,26","429757,77",20151204,04/12/2015,"429757,77/4582347,26",41.3895901971,2.15982967926,"41.3895901971, 2.15982967926","(41.3895901971, 2.15982967926)",False,Laboral,,2000.0,"[(41.38951, 2.1604), (41.38919, 2.16009), (41.38996, 2.15964)]",Abast,No hi ha causa mediata
2015S008351,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0189 0189,Dijous,Dj,Laboral,2015,11,Novembre,5,20,Tarda,No és causa del  vianant,0,1,0,2,"4582347,26","429757,77",20151105,05/11/2015,"429757,77/4582347,26",41.3895901971,2.15982967926,"41.3895901971, 2.15982967926","(41.3895901971, 2.15982967926)",False,Laboral,,2000.0,"[(41.38951, 2.1604), (41.38919, 2.16009), (41.38996, 2.15964)]",Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S009388,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova,0075 0075,Dijous,Dj,Laboral,2015,12,Desembre,10,17,Tarda,No és causa del  vianant,0,1,0,2,"4582142,99","429688,53",20151210,10/12/2015,"429688,53/4582142,99",41.3877443577,2.15902529199,"41.3877443577, 2.15902529199","(41.3877443577, 2.15902529199)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S002404,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0207 0207,Dilluns,Dl,Laboral,2015,3,Març,30,7,Matí,No és causa del  vianant,0,1,0,2,"4582434,03","429846,46",20150330,30/03/2015,"429846,46/4582434,03",41.3903794452,2.16088034549,"41.3903794452, 2.16088034549","(41.3903794452, 2.16088034549)",False,Laboral,,2000.0,"[(41.39075, 2.1607599)]",Col.lisi¾ lateral,No hi ha causa mediata
2015S002917,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0209 0209,Dissabte,Ds,Laboral,2015,4,Abril,18,22,Nit,No és causa del  vianant,0,1,0,2,"4582440,04","429852,53",20150418,18/04/2015,"429852,53/4582440,04",41.3904341046,2.16095224642,"41.3904341046, 2.16095224642","(41.3904341046, 2.16095224642)",False,Festiu,,2000.0,"[(41.39075, 2.1607599)]",Abast,No hi ha causa mediata
2015S004838,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102805,Doctor Letamendi,0035 0035,Dilluns,Dl,Laboral,2015,6,Juny,22,20,Tarda,No és causa del  vianant,0,1,0,2,"4582476,77","429979,77",20150622,22/06/2015,"429979,77/4582476,77",41.3907760063,2.16246978716,"41.3907760063, 2.16246978716","(41.3907760063, 2.16246978716)",False,Laboral,,2000.0,[],Caiguda (dues rodes),No hi ha causa mediata
2015S002479,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes,0065 0065,Dijous,Dj,Laboral,2015,4,Abril,2,11,Matí,No és causa del  vianant,0,1,0,2,"4582608,93","429981,39",20150402,02/04/2015,"429981,39/4582608,93",41.3919664676,2.16247388425,"41.3919664676, 2.16247388425","(41.3919664676, 2.16247388425)",False,Laboral,Casa Mila,380.648117476,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S007402,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0212 0212,Divendres,Dv,Laboral,2015,10,Octubre,2,23,Nit,No és causa del  vianant,0,1,1,2,"4582360,79","429817,08",20151002,02/10/2015,"429817,08/4582360,79",41.3897172345,2.16053744805,"41.3897172345, 2.16053744805","(41.3897172345, 2.16053744805)",True,Laboral,,2000.0,"[(41.38951, 2.1604)]",Atropellament,No hi ha causa mediata
2015S007730,2,Eixample,8,l'Antiga Esquerra de l'Eixample,23403,Aribau,0001 0001,Dijous,Dj,Laboral,2015,10,Octubre,15,8,Matí,No és causa del  vianant,0,1,0,2,"4582123,50","430082,51",20151015,15/10/2015,"430082,51/4582123,50",41.3876031587,2.16373933733,"41.3876031587, 2.16373933733","(41.3876031587, 2.16373933733)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2015S002812,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0126 0126,Dimecres,Dc,Laboral,2015,4,Abril,15,19,Tarda,No és causa del  vianant,0,1,0,2,"4582032,33","429476,67",20150415,15/04/2015,"429476,67/4582032,33",41.3867291351,2.15650444216,"41.3867291351, 2.15650444216","(41.3867291351, 2.15650444216)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2015S009427,2,Eixample,8,l'Antiga Esquerra de l'Eixample,23403,Aribau,0019 0019,Divendres,Dv,Laboral,2015,12,Desembre,11,15,Tarda,No és causa del  vianant,0,1,0,2,"4582229,94","429978,34",20151211,11/12/2015,"429978,34/4582229,94",41.3885527671,2.16248121753,"41.3885527671, 2.16248121753","(41.3885527671, 2.16248121753)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S002525,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,0091 0091,Dissabte,Ds,Laboral,2015,4,Abril,4,14,Tarda,No és causa del  vianant,0,1,0,2,"4582427,18","429598,42",20150404,04/04/2015,"429598,42/4582427,18",41.3902960771,2.15791459527,"41.3902960771, 2.15791459527","(41.3902960771, 2.15791459527)",False,Festiu,,2000.0,[],Abast,No hi ha causa mediata
2015S002918,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,0091 0091,Dissabte,Ds,Laboral,2015,4,Abril,18,20,Tarda,No és causa del  vianant,0,1,0,2,"4582427,18","429598,42",20150418,18/04/2015,"429598,42/4582427,18",41.3902960771,2.15791459527,"41.3902960771, 2.15791459527","(41.3902960771, 2.15791459527)",False,Festiu,,2000.0,[],Col.lisi¾ frontal,No hi ha causa mediata
2015S003779,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0238 0238,Dissabte,Ds,Laboral,2015,5,Maig,16,12,Matí,No és causa del  vianant,0,1,0,2,"4582227,94","429864,38",20150516,16/05/2015,"429864,38/4582227,94",41.3885248253,2.1611185302,"41.3885248253, 2.1611185302","(41.3885248253, 2.1611185302)",False,Festiu,,2000.0,"[(41.38867, 2.16125)]",Col.lisi¾ lateral,No hi ha causa mediata
2015S002699,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,0110 0110,Dissabte,Ds,Laboral,2015,4,Abril,11,18,Tarda,No és causa del  vianant,0,1,0,2,"4581958,32","429532,10",20150411,11/04/2015,"429532,10/4581958,32",41.38606741,2.15717595346,"41.38606741, 2.15717595346","(41.38606741, 2.15717595346)",False,Festiu,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S004784,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,0134 0134,Dissabte,Ds,Laboral,2015,6,Juny,20,17,Tarda,No és causa del  vianant,0,2,0,2,"4582055,66","429437,06",20150620,20/06/2015,"429437,06/4582055,66",41.3869357867,2.15602801792,"41.3869357867, 2.15602801792","(41.3869357867, 2.15602801792)",False,Festiu,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S007773,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputació,0210 0210,Divendres,Dv,Laboral,2015,10,Octubre,16,12,Matí,No és causa del  vianant,0,2,0,2,"4582148,82","429975,61",20151016,16/10/2015,"429975,61/4582148,82",41.3878219087,2.16245794478,"41.3878219087, 2.16245794478","(41.3878219087, 2.16245794478)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S005549,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,0020 0020,Dissabte,Ds,Laboral,2015,7,Juliol,18,12,Matí,No és causa del  vianant,0,1,0,2,"4582053,44","429993,96",20150718,18/07/2015,"429993,96/4582053,44",41.38696445,2.16268842359,"41.38696445, 2.16268842359","(41.38696445, 2.16268842359)",False,Festiu,,2000.0,[],Abast,No hi ha causa mediata
2015S000825,2,Eixample,8,l'Antiga Esquerra de l'Eixample,32700,Balmes,0151 0151,Dilluns,Dl,Laboral,2015,2,Febrer,2,17,Tarda,No és causa del  vianant,0,1,0,2,"4583081,83","429521,36",20150202,02/02/2015,"429521,36/4583081,83",41.3961855285,2.15691677868,"41.3961855285, 2.15691677868","(41.3961855285, 2.15691677868)",False,Laboral,Casa Mila,431.415020798,"[(41.39574, 2.15693)]",Caiguda (dues rodes),No hi ha causa mediata
2015S009647,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90502,Còrsega,0245 0245,Divendres,Dv,Laboral,2015,12,Desembre,18,17,Tarda,No és causa del  vianant,0,1,0,2,"4582908,56","429381,95",20151218,18/12/2015,"429381,95/4582908,56",41.3946127181,2.15526950096,"41.3946127181, 2.15526950096","(41.3946127181, 2.15526950096)",False,Laboral,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S008586,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0254 0254,Divendres,Dv,Laboral,2015,11,Novembre,13,19,Tarda,No és causa del  vianant,0,1,0,2,"4582316,20","429954,47",20151113,13/11/2015,"429954,47/4582316,20",41.3893276036,2.16218576665,"41.3893276036, 2.16218576665","(41.3893276036, 2.16218576665)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2015S000919,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0305 0309,Dijous,Dj,Laboral,2015,2,Febrer,5,21,Tarda,Creuar per fora pas de vianants,0,1,0,1,"4582476,28","430087,11",20150205,05/02/2015,"430087,11/4582476,28",41.3907809305,2.16375363425,"41.3907809305, 2.16375363425","(41.3907809305, 2.16375363425)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2015S007835,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputació,0209 0209,Dilluns,Dl,Laboral,2015,10,Octubre,19,12,Matí,No és causa del  vianant,0,1,0,2,"4582231,98","430029,29",20151019,19/10/2015,"430029,29/4582231,98",41.3885755743,2.16309032502,"41.3885755743, 2.16309032502","(41.3885755743, 2.16309032502)",True,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S008256,2,Eixample,8,l'Antiga Esquerra de l'Eixample,209300,Valeri Serra,0015 0015,Dilluns,Dl,Laboral,2015,11,Novembre,2,23,Nit,No és causa del  vianant,0,5,0,3,"4582086,96","429844,33",20151102,02/11/2015,"429844,33/4582086,96",41.3872533176,2.16089506667,"41.3872533176, 2.16089506667","(41.3872533176, 2.16089506667)",True,Laboral,,2000.0,"[(41.38731, 2.16069)]",Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S000920,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,0427B0431,Divendres,Dv,Laboral,2015,2,Febrer,6,4,Nit,No és causa del  vianant,0,1,0,1,"4583101,68","429239,17",20150206,06/02/2015,"429239,17/4583101,68",41.3963395288,2.15353918368,"41.3963395288, 2.15353918368","(41.3963395288, 2.15353918368)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2015S005089,2,Eixample,8,l'Antiga Esquerra de l'Eixample,110304,Enric Granados,0063 0063,Dijous,Dj,Laboral,2015,7,Juliol,2,16,Tarda,No és causa del  vianant,0,1,0,2,"4582711,04","429694,72",20150702,02/07/2015,"429694,72/4582711,04",41.3928611287,2.1590333872,"41.3928611287, 2.1590333872","(41.3928611287, 2.1590333872)",False,Laboral,Casa Mila,371.094698956,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S009885,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,0049 0049,Diumenge,Dg,Laboral,2015,12,Desembre,27,17,Tarda,No és causa del  vianant,0,2,0,2,"4582149,91","429869,24",20151227,27/12/2015,"429869,24/4582149,91",41.3878224592,2.16118568748,"41.3878224592, 2.16118568748","(41.3878224592, 2.16118568748)",False,Festiu,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S006095,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença,0079 0079,Diumenge,Dg,Laboral,2015,8,Agost,9,0,Nit,No és causa del  vianant,0,3,0,2,"4581412,10","429093,83",20150809,09/08/2015,"429093,83/4581412,10",41.3811092874,2.15199853917,"41.3811092874, 2.15199853917","(41.3811092874, 2.15199853917)",False,Festiu,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S005981,2,Eixample,8,l'Antiga Esquerra de l'Eixample,191204,Mallorca,0181 0181,Dimarts,Dm,Laboral,2015,8,Agost,4,9,Matí,No és causa del  vianant,0,1,0,2,"4582533,56","429572,82",20150804,04/08/2015,"429572,82/4582533,56",41.3912519635,2.15759605169,"41.3912519635, 2.15759605169","(41.3912519635, 2.15759605169)",True,Laboral,,2000.0,"[(41.3915999, 2.15732)]",Col.lisi¾ lateral,No hi ha causa mediata
2015S000001,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputació,0170 0170,Dijous,Dj,Laboral,2015,1,Gener,1,5,Nit,No és causa del  vianant,0,1,0,2,"4581943,20","429765,56",20150101,01/01/2015,"429765,56/4581943,20",41.3859516461,2.15996969244,"41.3859516461, 2.15996969244","(41.3859516461, 2.15996969244)",False,Festiu,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S005289,2,Eixample,9,la Nova Esquerra de l'Eixample,100800,Diputació,0026 0026,Dimecres,Dc,Laboral,2015,7,Juliol,8,22,Nit,No és causa del  vianant,0,1,0,2,"4581290,96","429099,22",20150708,08/07/2015,"429099,22/4581290,96",41.3800186964,2.15207716696,"41.3800186964, 2.15207716696","(41.3800186964, 2.15207716696)",False,Laboral,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
