entityid,codiincident,descripcioincident,codidistricte,nomdistricte,nkany,mesdeany,nommes,numerodincidentsgub
d4bf8355-0684-4587-b8de-72470eac3d48,660,VIOLÈNCIA DOMÈSTICA,7,Horta-Guinardó,2015,10,Octubre,17
d4c01093-fb4c-4cf9-a312-1295c2ba8565,305,COL·LABORACIÓ AMB ALTRES SERVEIS,9,Sant Andreu,2015,5,Maig,47
d4c53660-b5b1-4829-9aed-9bd24b2d12e7,500,MANIFESTACIONS / CONCENTRACIONS,4,Les Corts,2015,2,Febrer,17
d4cc8177-b4d5-4077-bf6e-360a2dba7b23,70,SINISTRES EN EDIFICIS,4,Les Corts,2015,4,Abril,2
d4cd205a-2c78-4dba-9a79-9407c76b3e23,303,ASSISTÈNCIA A MALALTS MENTALS,6,Gràcia,2015,8,Agost,5
d4d52181-1a8c-4dba-ab62-57dde6333284,223,INFRACCIONS EN MOVIMENT (VEHICLES),9,Sant Andreu,2015,1,Gener,1
d4dd18bc-f9a0-49ac-9666-baced6f5f9a3,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,9,Sant Andreu,2015,9,Setembre,101
d4e508d6-55d2-4b83-9442-697c6fc8284c,210,ACCIDENTS DE TRÀNSIT SENSE FERITS,8,Nou Barris,2015,2,Febrer,31
d4e6c914-e4f4-409c-8ad2-6d587ca4dd7c,21B,ACCIDENT REBUT PEL 080 (Recodificar),8,Nou Barris,2015,9,Setembre,1
d4f2755b-082e-4a61-91a6-1c57c36b7e6d,421,INFRACCIONS EN LOCALS,7,Horta-Guinardó,2015,5,Maig,1
d4f3fd08-7637-4447-8f68-c7ec8eeaed0d,221,INFRACCIONS PER ESTACIONAMENTS,9,Sant Andreu,2015,11,Novembre,118
d4f534c3-5905-4f1b-b02e-057833f8ca24,102,REFORMA,1,Ciutat Vella,2015,4,Abril,1
d4f5c475-edd8-4911-a725-e8f60127ccc4,222,INFRACCIONS EN MOVIMENT,-1,Desconegut,2015,2,Febrer,9
d4f64a88-2ff7-4777-bacd-dbfc30251621,640,INFRACCIONS D ESTRANGERS,2,Eixample,2015,12,Desembre,1
d4f8c75f-7944-4ecb-8e41-e6ef966f7b39,204,SENYALS NO AUTOMATITZADES,7,Horta-Guinardó,2015,12,Desembre,3
d4fe6639-96ac-4c98-91a1-00072c5ed117,420,INCIDÈNCIES DE LOCALS,6,Gràcia,2015,3,Març,36
d4ff7b72-1e73-4fe2-8da1-4dc195104c2d,513,CONFLICTES EN LOCALS,1,Ciutat Vella,2015,5,Maig,68
d504cbba-e3a8-4405-8a61-68682154ec5e,400,CONVIVÈNCIA VEINAL,7,Horta-Guinardó,2015,8,Agost,305
d50651a8-1887-4fc8-9b48-3cc308e097a4,62,AVARIES DE SERVEIS MUNICIPALS,3,Sants-Montjuïc,2015,5,Maig,12
d50867cd-6763-4cf3-b9d5-ebe045872b16,510,BARALLES,7,Horta-Guinardó,2015,12,Desembre,4
d50f70ce-8243-48e3-ba54-da65d8884127,0,INCENDIS,8,Nou Barris,2015,8,Agost,27
d5149f26-fd0d-476e-a56d-24c437565237,630,CONTRA LA LLIBERTAT SEXUAL,-1,Desconegut,2015,5,Maig,1
d5263650-23ff-45a9-81f3-a3b877de4d03,442,ALTRES INCIDÈNCIES AMB ANIMALS,5,Sarrià-Sant Gervasi,2015,3,Març,23
d53babc3-1286-4bb0-9cd7-2bec4874fe71,810,ABOCAMENT DE RESIDUS,9,Sant Andreu,2015,10,Octubre,8
d5421825-0bda-4f76-bd43-a2a957051bf0,670,AGRESSIONS,3,Sants-Montjuïc,2015,1,Gener,24
d5481a6e-5304-4942-884b-d08b7546df6b,810,ABOCAMENT DE RESIDUS,9,Sant Andreu,2015,3,Març,4
d54b946d-096a-4e56-954d-1fbbbee57d16,411,VENDA AMBULANT,2,Eixample,2015,1,Gener,147
d54bf45e-7470-420d-839d-b546d9764ca7,600,COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL,3,Sants-Montjuïc,2015,5,Maig,27
d54f306a-83cd-46a7-a488-ddd091d00f54,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,3,Sants-Montjuïc,2015,9,Setembre,59
d5551f23-066d-494b-b1c5-69417aae02a6,30,MATÈRIES PERILLOSES,5,Sarrià-Sant Gervasi,2015,5,Maig,2
d57dabad-e6ae-4193-b4bd-3c5544563a00,630,CONTRA LA LLIBERTAT SEXUAL,6,Gràcia,2015,7,Juliol,1
d57e404d-b755-4400-b047-e588a9432f96,200,INCIDÈNCIES AMB AFECTACIÓ DE VIA,4,Les Corts,2015,4,Abril,42
d58af750-6336-4369-93cd-42204deebdc9,241,SUPORTS,7,Horta-Guinardó,2015,1,Gener,30
d59afaef-8dab-4518-aec7-3ddb70065d06,442,ALTRES INCIDÈNCIES AMB ANIMALS,9,Sant Andreu,2015,11,Novembre,1
d5a86470-d8a2-4df6-9301-2613ac0e1b69,50,ATEMPTATS,1,Ciutat Vella,2015,3,Març,2
d5b36eab-eea3-4e77-b40e-a016257b5c11,520,OCUPACIONS IL·LÍCITES,3,Sants-Montjuïc,2015,10,Octubre,1
d5c10025-b50e-40a7-813a-a41815849e62,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,8,Nou Barris,2015,9,Setembre,241
d5d7e835-0a87-471f-936a-fdf20b264528,400,CONVIVÈNCIA VEINAL,6,Gràcia,2015,11,Novembre,228
d5dc9d06-5eba-42ef-ae42-2c20fc9d5d04,211,ACCIDENTS DE TRÀNSIT AMB FERITS,4,Les Corts,2015,12,Desembre,71
d5dd58cf-177f-4ee0-98b8-2d8c81557350,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,3,Sants-Montjuïc,2015,7,Juliol,51
d5ebc3a3-a1d1-439b-b617-d85b9017b14c,201,INCIDÈNCIES AMB PERILL PEL TRÀNSIT,-1,Desconegut,2015,10,Octubre,1
d5ec3865-ab5c-485e-8161-69076445641e,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,3,Sants-Montjuïc,2015,5,Maig,313
d5efb525-3736-477a-8102-cf370c823661,401,MOLESTIES PER GENERADORS,1,Ciutat Vella,2015,7,Juliol,1
d602f3c0-aed1-429d-8cb6-89dbc02af305,513,CONFLICTES EN LOCALS,6,Gràcia,2015,8,Agost,8
d60d711f-5e24-4383-8757-c4fbc9184c5e,830,ALTRES ACTUACIONS EN MEDI AMBIENT,-1,Desconegut,2015,11,Novembre,2
d60df605-8e73-4a2a-b4cd-1d7917eb5857,222,INFRACCIONS EN MOVIMENT,9,Sant Andreu,2015,12,Desembre,77
d60e760a-ec78-4d5a-8f47-1a1cfdc1e90a,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,9,Sant Andreu,2015,8,Agost,181
d6155f54-8307-4e94-8489-4aff3b6719c8,530,DELICTES CONTRA L ORDRE PÚBLIC,2,Eixample,2015,11,Novembre,4
d62d7190-a411-4d96-a195-92e829f5cd56,830,ALTRES ACTUACIONS EN MEDI AMBIENT,6,Gràcia,2015,12,Desembre,1
