CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
830;ALTRES ACTUACIONS EN MEDI AMBIENT;8;Nou Barris;2013;6;Juny;1
21B;ACCIDENT REBUT PEL 080 (Recodificar);1;Ciutat Vella;2013;11;Novembre;1
050;ATEMPTATS;2;Eixample;2013;10;Octubre;1
421;INFRACCIONS EN LOCALS;9;Sant Andreu;2013;1;Gener;1
201;INCIDÈNCIES AMB PERILL PEL TRÀNSIT;2;Eixample;2013;3;Març;43
221;INFRACCIONS PER ESTACIONAMENTS;10;Sant Martí;2013;3;Març;144
440;ANIMALS DE COMPANYIA;1;Ciutat Vella;2013;3;Març;15
062;AVARIES DE SERVEIS MUNICIPALS;6;Gràcia;2013;3;Març;21
660;VIOLÈNCIA DOMÈSTICA;3;Sants-Montjuïc;2013;2;Febrer;11
680;ALTRES ACTUACIONS DE S, C,;6;Gràcia;2013;2;Febrer;39
511;VANDALISME;4;Les Corts;2013;2;Febrer;4
670;AGRESSIONS;8;Nou Barris;2013;2;Febrer;17
000;INCENDIS;9;Sant Andreu;2013;2;Febrer;16
411;VENDA AMBULANT;9;Sant Andreu;2013;2;Febrer;5
511;VANDALISME;2;Eixample;2013;2;Febrer;8
303;ASSISTÈNCIA A MALALTS MENTALS;2;Eixample;2013;2;Febrer;7
441;ANIMALS / INSECTES PERILLOSOS;3;Sants-Montjuïc;2013;5;Maig;3
422;INSPECCIONS / CONTROLS EN LOCALS;8;Nou Barris;2013;5;Maig;11
21B;ACCIDENT REBUT PEL 080 (Recodificar);2;Eixample;2013;5;Maig;7
203;SENYALS AUTOMATITZADES;9;Sant Andreu;2013;5;Maig;17
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;5;Sarrià-Sant Gervasi;2013;6;Juny;58
422;INSPECCIONS / CONTROLS EN LOCALS;3;Sants-Montjuïc;2013;6;Juny;23
411;VENDA AMBULANT;9;Sant Andreu;2013;1;Gener;9
221;INFRACCIONS PER ESTACIONAMENTS;1;Ciutat Vella;2013;1;Gener;96
611;ACTES CONTRA LA PROPIETAT PÚBLICA;5;Sarrià-Sant Gervasi;2013;1;Gener;1
640;INFRACCIONS D ESTRANGERS;10;Sant Martí;2013;6;Juny;11
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;9;Sant Andreu;2013;5;Maig;46
511;VANDALISME;4;Les Corts;2013;6;Juny;4
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;7;Horta-Guinardó;2013;1;Gener;40
401;MOLESTIES PER GENERADORS;2;Eixample;2013;1;Gener;1
430;ESPECTACLES EN ESPAIS PÚBLICS;10;Sant Martí;2013;3;Març;5
022;NEU I GEL;7;Horta-Guinardó;2013;2;Febrer;19
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;3;Sants-Montjuïc;2013;4;Abril;218
303;ASSISTÈNCIA A MALALTS MENTALS;2;Eixample;2013;4;Abril;4
513;CONFLICTES EN LOCALS;7;Horta-Guinardó;2013;4;Abril;4
203;SENYALS AUTOMATITZADES;7;Horta-Guinardó;2013;4;Abril;19
241;SUPORTS;4;Les Corts;2013;4;Abril;17
513;CONFLICTES EN LOCALS;3;Sants-Montjuïc;2013;4;Abril;17
511;VANDALISME;1;Ciutat Vella;2013;5;Maig;20
305;COL·LABORACIÓ AMB ALTRES SERVEIS;9;Sant Andreu;2013;5;Maig;23
100;ÀMBIT DE PROTECCIÓ DEL MENOR;5;Sarrià-Sant Gervasi;2013;5;Maig;12
620;ESTUPEFAENTS / PSICOTROPICS;9;Sant Andreu;2013;4;Abril;20
250;CONDUCCIONS I ACOMPANYAMENTS;9;Sant Andreu;2013;1;Gener;3
063;EDIFICIS OFICIALS;2;Eixample;2013;5;Maig;3
101;ÀMBIT EDUCATIU;2;Eixample;2013;5;Maig;2
421;INFRACCIONS EN LOCALS;3;Sants-Montjuïc;2013;6;Juny;4
600;COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL;4;Les Corts;2013;6;Juny;9
21B;ACCIDENT REBUT PEL 080 (Recodificar);1;Ciutat Vella;2013;6;Juny;4
451;OCUPACIONS D ESPAIS PÚBLICS;5;Sarrià-Sant Gervasi;2013;6;Juny;5
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;4;Les Corts;2013;4;Abril;2
204;SENYALS NO AUTOMATITZADES;6;Gràcia;2013;1;Gener;4
204;SENYALS NO AUTOMATITZADES;6;Gràcia;2013;5;Maig;1
102;REFORMA;2;Eixample;2013;1;Gener;2
630;CONTRA LA LLIBERTAT SEXUAL;10;Sant Martí;2013;2;Febrer;1
680;ALTRES ACTUACIONS DE S, C,;9;Sant Andreu;2013;7;Juliol;85
480;ALARMES D INCENDI / ROBATORI;3;Sants-Montjuïc;2013;7;Juliol;17
400;CONVIVÈNCIA VEINAL;3;Sants-Montjuïc;2013;7;Juliol;384
070;SINISTRES EN EDIFICIS;4;Les Corts;2013;7;Juliol;7
441;ANIMALS / INSECTES PERILLOSOS;10;Sant Martí;2013;7;Juliol;11
070;SINISTRES EN EDIFICIS;2;Eixample;2013;7;Juliol;29
070;SINISTRES EN EDIFICIS;8;Nou Barris;2013;7;Juliol;3
030;MATÈRIES PERILLOSES;9;Sant Andreu;2013;5;Maig;1
630;CONTRA LA LLIBERTAT SEXUAL;4;Les Corts;2013;5;Maig;1
301;ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS;2;Eixample;2013;9;Setembre;220
062;AVARIES DE SERVEIS MUNICIPALS;10;Sant Martí;2013;9;Setembre;18
221;INFRACCIONS PER ESTACIONAMENTS;3;Sants-Montjuïc;2013;9;Setembre;124
610;ACTES CONTRA LA PROPIETAT PRIVADA;1;Ciutat Vella;2013;8;Agost;490
241;SUPORTS;10;Sant Martí;2013;8;Agost;113
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;7;Horta-Guinardó;2013;9;Setembre;47
201;INCIDÈNCIES AMB PERILL PEL TRÀNSIT;9;Sant Andreu;2013;9;Setembre;29
513;CONFLICTES EN LOCALS;1;Ciutat Vella;2013;9;Setembre;47
451;OCUPACIONS D ESPAIS PÚBLICS;2;Eixample;2013;9;Setembre;10
610;ACTES CONTRA LA PROPIETAT PRIVADA;4;Les Corts;2013;8;Agost;30
441;ANIMALS / INSECTES PERILLOSOS;7;Horta-Guinardó;2013;9;Setembre;4
441;ANIMALS / INSECTES PERILLOSOS;3;Sants-Montjuïc;2013;9;Setembre;5
530;DELICTES CONTRA L ORDRE PÚBLIC;2;Eixample;2013;8;Agost;2
640;INFRACCIONS D ESTRANGERS;10;Sant Martí;2013;9;Setembre;6
631;CONTRA ELS DRETS DELS TREBALLADORS;5;Sarrià-Sant Gervasi;2013;9;Setembre;1
020;PLUJA TORRENCIAL;3;Sants-Montjuïc;2013;11;Novembre;5
680;ALTRES ACTUACIONS DE S, C,;6;Gràcia;2013;11;Novembre;41
301;ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS;8;Nou Barris;2013;10;Octubre;63
650;VIGILÀNCIA POLICIAL;9;Sant Andreu;2013;10;Octubre;244
510;BARALLES;1;Ciutat Vella;2013;10;Octubre;57
620;ESTUPEFAENTS / PSICOTROPICS;4;Les Corts;2013;11;Novembre;5
211;ACCIDENTS DE TRÀNSIT AMB FERITS;6;Gràcia;2013;11;Novembre;55
